x \ y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.0,0.5192307692307692,0.8520710059171598,0.9672849340009103,0.9944636042155387,0.9992547159520917,0.999918100654076,0.9999925188097474,0.9999994245238267,0.9999999623727117,0.9999999978949768,0.999999999898797,0.9999999999958081,0.9999999999998503,0.9999999999999954,0.9999999999999999
3,0.0,0.0,0.8150887573964497,0.9495050068274921,0.9887740275200448,0.9978912375132308,0.9996567672866277,0.9999507100527372,0.9999936697620939,0.9999992652776872,0.9999999222909209,0.999999992459951,0.9999999993251423,0.9999999999440295,0.9999999999956822,0.9999999999996891
4,0.0,0.0,0.0,0.9480826126536186,0.988062830433108,0.9976461059729109,0.9995915391514353,0.9999364691783273,0.999991020440747,0.9999988343589259,0.9999998598611815,0.9999999842897641,0.9999999983485642,0.9999999998364623,0.9999999999846835,0.9999999999986388
5,0.0,0.0,0.0,0.0,0.9880081229648822,0.9976187522387979,0.9995820705511653,0.9999339214961048,0.9999904533207702,0.9999987258038839,0.9999998415215677,0.9999999815036769,0.9999999979626298,0.9999999997871881,0.9999999999788354,0.999999999997989
6,0.0,0.0,0.0,0.0,0.0,0.9976166481054046,0.9995810184844687,0.9999335573191713,0.9999903552731343,0.9999987039340212,0.9999998373176845,0.9999999807884307,0.9999999978528342,0.9999999997717619,0.9999999999768296,0.9999999999977456
7,0.0,0.0,0.0,0.0,0.0,0.0,0.9995809375562613,0.9999335168550677,0.9999903412663291,0.9999987001629583,0.9999998364764473,0.9999999806266577,0.9999999978252824,0.9999999997675244,0.9999999999762325,0.9999999999976675
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999335137424443,0.9999903397100175,0.999998699624235,0.9999998363314064,0.9999999805943025,0.9999999978190601,0.9999999997664646,0.9999999999760694,0.9999999999976446
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999903395903013,0.9999986995643769,0.9999998363106863,0.999999980588724,0.9999999978178157,0.9999999997662253,0.9999999999760286,0.9999999999976383
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999986995597724,0.9999998363083841,0.999999980587927,0.9999999978176012,0.9999999997661775,0.9999999999760194,0.9999999999976368
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999836308207,0.9999999805878385,0.9999999978175705,0.9999999997661692,0.9999999999760176,0.9999999999976364
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999805878317,0.9999999978175671,0.999999999766168,0.9999999999760173,0.9999999999976363
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999978175669,0.9999999997661679,0.9999999999760172,0.9999999999976363
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999997661678,0.9999999999760172,0.9999999999976363
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999760172,0.9999999999976363
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999976363
